Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level
14.0,85.8,56.5,1,2
8.1,73.3,75.5,1,3
14.2,85.0,53.6,1,3
15.6,105.7,77.3,1,2
5.3,102.8,59.4,0,3
16.5,76.9,74.7,1,2
12.0,35.3,69.5,1,3
7.3,35.7,56.4,0,2
4.2,84.0,61.4,0,0
7.2,99.4,32.0,0,2
16.5,99.9,65.2,1,4
12.1,54.5,77.2,1,2
10.3,77.9,57.2,1,4
9.0,67.1,60.9,0,2
11.0,81.7,70.0,0,4
16.3,67.5,63.0,1,3
10.3,100.2,85.6,1,2
16.0,86.0,76.5,0,4
10.1,85.9,58.4,1,1
9.9,68.6,77.7,1,4
9.8,62.1,44.2,0,4
17.0,84.1,89.4,0,4
1.3,68.9,70.6,0,2
10.6,107.8,65.5,1,0
13.3,90.7,85.2,1,4
3.3,80.5,77.1,0,2
4.5,134.3,67.8,1,2
6.9,47.4,69.0,0,1
7.1,89.8,67.4,1,0
12.3,67.3,64.3,1,3
4.2,92.6,67.1,0,2
11.9,40.9,48.5,0,2
7.7,77.7,73.0,1,4
7.2,77.3,84.8,1,2
6.3,76.3,79.3,1,1
12.6,75.7,60.4,1,0
0.0,52.6,52.1,1,2
12.8,90.7,69.1,0,2
12.2,42.7,51.3,0,1
10.4,83.6,66.2,1,4
3.1,34.5,55.0,0,4
7.1,79.2,74.8,1,4
7.3,52.5,97.2,1,4
10.6,71.6,32.1,1,1
11.8,77.7,51.6,0,2
9.9,111.9,73.9,1,1
14.5,86.3,60.0,1,3
21.7,50.1,67.4,0,1
5.0,76.1,64.4,1,3
15.9,71.5,59.0,0,3
11.3,77.6,104.7,1,4
-2.7,67.6,63.2,0,2
4.0,81.9,50.8,1,2
13.4,62.4,57.3,1,0
10.4,72.4,94.3,0,1
8.0,80.8,91.0,0,0
8.4,57.2,76.0,0,4
7.0,38.5,65.2,1,1
7.0,65.0,84.2,1,4
6.1,43.6,73.0,0,0
13.8,92.5,73.8,0,4
13.3,43.6,47.9,1,0
8.2,59.1,57.5,0,2
10.9,49.1,74.8,1,1
1.8,91.6,63.0,1,4
7.8,56.3,64.3,0,1
20.9,53.0,64.2,1,1
11.4,76.5,42.7,0,4
12.0,85.2,63.8,0,0
12.6,51.8,48.2,0,1
6.5,42.8,70.8,1,1
7.8,83.5,56.6,0,2
16.9,27.2,55.1,0,4
20.2,97.6,60.1,1,1
14.8,79.9,72.5,0,1
1.5,96.5,79.1,0,0
9.8,91.8,88.6,0,2
12.1,26.8,37.2,0,2
9.2,70.5,56.2,1,0
15.2,64.9,66.9,0,3
17.9,83.0,90.5,1,2
6.5,63.8,57.6,0,0
7.2,52.4,68.2,0,0
5.6,81.8,75.1,0,3
6.9,74.7,54.2,0,0
20.0,51.3,58.1,0,1
13.9,93.4,74.4,0,2
24.3,71.7,90.8,0,4
6.9,66.9,68.8,0,1
4.8,59.4,85.2,0,2
10.5,45.0,83.7,0,3
7.4,94.0,65.1,0,4
7.8,28.1,51.3,1,0
17.0,87.2,76.9,1,0
5.2,73.3,75.0,1,3
6.5,92.1,37.1,1,2
13.2,105.5,48.0,0,0
11.6,74.9,52.1,1,4
9.1,66.1,75.6,1,0
12.1,52.2,48.4,0,0
15.8,41.9,33.5,0,2
17.3,73.7,62.5,0,2
13.6,69.9,58.1,1,0
13.8,48.0,48.9,0,1
15.1,35.4,70.9,0,4
5.4,55.7,72.7,0,2
7.4,75.6,80.1,1,2
9.2,105.7,64.8,1,4
5.4,86.1,66.9,0,1
9.1,89.0,53.4,0,2
5.9,93.4,35.6,0,4
17.6,27.6,72.4,0,3
18.1,118.7,58.1,1,0
7.0,51.5,51.7,0,0
12.2,87.9,65.3,0,4
15.4,63.0,69.9,0,4
12.2,80.7,45.2,0,3
7.3,72.2,85.1,1,3
6.9,92.7,75.4,0,2
8.7,98.4,55.7,0,3
8.9,89.5,49.2,1,1
15.1,46.4,56.1,0,1
10.6,25.5,90.4,0,4
12.1,110.9,70.7,1,4
10.5,58.2,40.8,0,3
10.0,53.3,50.3,1,3
8.6,85.1,82.4,1,3
6.1,102.4,64.3,1,2
1.1,94.8,44.6,1,1
18.1,90.5,64.1,1,3
3.5,82.6,57.5,0,1
22.6,85.0,45.2,1,0
9.3,76.2,61.9,0,3
3.4,72.1,65.9,0,3
15.0,77.7,65.3,1,3
4.5,58.6,73.7,0,2
1.2,58.1,65.7,0,3
9.9,71.9,47.7,0,0
8.6,62.6,79.8,0,1
8.2,77.1,55.5,1,2
7.2,105.2,56.6,0,2
23.5,94.4,36.8,1,3
13.1,93.5,79.4,0,3
13.5,66.0,65.4,1,3
0.3,61.9,57.5,0,2
6.6,103.2,77.5,0,0
9.5,41.9,61.9,1,2
10.4,105.2,85.6,1,3
15.6,47.4,52.4,0,1
13.8,80.8,48.2,0,0
1.3,51.8,97.3,1,2
12.0,96.6,45.0,0,3
10.7,87.6,70.7,0,0
17.6,89.7,71.0,1,1
11.3,69.5,43.0,0,0
7.7,62.4,68.2,0,1
14.8,70.5,84.4,1,1
18.3,76.3,58.9,0,0
12.8,81.0,77.1,0,2
13.9,83.1,68.8,0,0
11.4,61.8,49.8,1,3
15.6,96.4,34.9,0,1
17.7,96.6,48.9,1,1
13.9,95.6,47.8,0,1
16.1,84.1,44.0,1,2
8.6,89.0,84.7,0,2
13.4,74.1,83.5,1,0
8.7,70.1,71.6,0,4
3.0,79.6,78.1,1,4
15.8,68.6,62.3,1,0
6.0,90.4,75.4,1,3
15.5,98.2,80.7,1,2
9.7,29.8,60.0,0,4
6.9,81.9,72.8,0,0
8.3,72.1,200.0,0,1
-1.9,102.1,61.7,1,4
17.9,78.9,46.3,1,2
7.8,102.6,67.1,1,2
11.2,120.4,57.4,0,3
6.0,67.0,78.4,0,3
2.4,59.8,34.6,1,0
10.0,52.0,54.4,1,1
6.9,42.9,73.6,1,1
10.2,90.8,44.5,1,1
4.9,64.9,76.6,1,2
12.7,93.4,38.0,1,3
11.7,61.9,62.7,0,2
1.6,112.2,66.3,1,2
9.5,106.5,71.3,0,3
10.7,50.3,70.3,0,2
8.1,61.1,83.3,0,2
12.3,72.2,72.0,0,4
25.5,76.4,70.6,1,2
19.0,100.7,43.6,1,3
1.5,68.4,80.5,0,1
-3.0,115.6,70.3,1,0
3.9,68.7,75.8,0,3
15.3,84.1,63.9,0,0
11.5,54.2,60.0,0,3
17.3,66.5,53.8,0,4
14.2,69.2,66.3,1,0
13.7,57.6,71.9,1,2
8.0,89.7,72.1,1,1
14.7,84.8,54.4,1,1
5.8,71.2,67.7,0,0
8.4,93.1,64.3,0,2
11.7,52.6,69.6,0,4
7.5,52.8,89.4,1,4
18.3,75.0,81.8,0,1
8.1,46.1,76.1,1,1
3.0,85.0,78.3,1,2
10.8,104.3,52.8,0,0
1.1,88.1,56.7,0,1
5.8,100.9,60.0,0,4
10.2,108.9,92.6,0,4
6.5,59.5,58.5,0,1
5.3,90.9,57.4,0,4
2.1,70.7,29.1,0,0
12.6,80.5,48.9,0,2
8.9,67.8,69.0,1,4
3.4,73.9,68.4,1,0
22.3,59.6,45.5,1,0
2.9,73.8,54.6,0,3
13.7,102.6,64.0,1,4
11.2,60.8,59.2,0,3
10.4,84.1,77.0,1,1
11.4,55.3,52.2,1,3
10.5,56.5,63.1,1,4
11.8,88.5,61.7,1,2
20.1,100.7,89.9,1,3
22.9,80.1,80.7,0,4
13.7,69.3,73.6,0,4
7.3,76.6,47.4,1,4
17.5,80.4,71.5,1,4
12.5,79.5,80.6,1,0
5.2,57.8,63.9,0,0
4.4,75.3,71.3,0,0
17.6,71.9,75.3,1,3
6.6,111.0,83.3,0,1
10.2,19.1,70.6,1,0
14.9,74.4,54.3,0,0
-0.8,125.4,66.3,0,3
11.3,74.4,62.6,1,0
9.5,90.1,46.8,1,3
14.9,65.7,66.7,1,2
2.7,85.1,77.2,1,0
8.0,26.0,68.9,0,0
12.2,94.9,44.3,0,2
3.9,63.1,77.1,0,3
9.4,71.8,39.3,0,4
10.1,55.0,83.2,0,3
0.2,51.2,69.1,0,4
15.7,77.0,40.2,1,1
-3.0,82.2,45.0,1,2
15.2,86.5,51.6,0,0
7.8,87.7,59.7,0,1
9.6,57.1,59.0,1,4
10.6,87.5,58.9,1,3
10.4,58.4,63.0,1,0
5.8,63.1,72.7,1,2
13.7,72.8,39.4,0,1
8.3,48.1,44.4,0,0
0.8,54.1,67.0,1,2
2.1,81.1,45.2,1,1
3.0,47.4,63.7,1,1
